# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
    1981     20180327   zg   0.229259   0.9551    0.1202  14.89 -22.2171   0.2455  	154213
    3200     20171212   zr   0.243633   1.0888    0.1126  11.30 23.0064    0.1436  	142407
    3200     20171212   zr   0.248010   1.0880    0.1118  11.29 23.0686    0.1446  	193877
    3200     20171212   zr   0.250284   1.0875    0.1114  11.28 23.1027    0.1446  	222338
    3200     20171212   zr   0.251624   1.0872    0.1112  11.28 23.1236    0.1448  	239525
    3200     20171212   zr   0.251795   1.0872    0.1111  11.28 23.1263    0.1448  	242153
    3200     20171212   zr   0.252017   1.0872    0.1111  11.28 23.1298    0.1458  	245139
    3200     20171212   zr   0.257103   1.0860    0.1100  11.26 23.2176    0.1468  	320405
    3200     20171212   zr   0.259327   1.0854    0.1094  11.25 23.2615    0.1477  	358993
    3200     20171212   zr   0.264099   1.0838    0.1080  11.23 23.3732    0.1489  	460428
    3200     20171212   zr   0.264122   1.0838    0.1080  11.23 23.3738    0.1489  	460972
    3200     20171212   zr   0.266282   1.0829    0.1072  11.22 23.4325    0.1499  	515706
    3200     20171213   zr   0.321471   1.0724    0.0981  11.11 24.1841    0.1642  	178993
    3200     20171213   zr   0.329346   1.0712    0.0970  11.10 24.2750    0.1666  	258843
    3200     20171213   zr   0.329444   1.0712    0.0970  11.10 24.2762    0.1666  	259931
    3200     20171213   zr   0.329543   1.0711    0.0970  11.10 24.2774    0.1666  	261019
    3200     20171213   zr   0.329593   1.0711    0.0970  11.10 24.2780    0.1666  	261551
    3200     20171213   zr   0.329641   1.0711    0.0970  11.10 24.2786    0.1666  	262095
    3200     20171214   zr   0.409995   1.0575    0.0866  11.03 25.0776    0.1866  	116088
    3200     20171214   zr   0.420501   1.0562    0.0857  11.02 25.1442    0.1882  	198032
    3200     20171214   zr   0.422880   1.0559    0.0855  11.02 25.1595    0.1895  	218137
    3200     20171214   zr   0.422943   1.0559    0.0855  11.02 25.1599    0.1895  	218681
    3200     20171217   zr   0.639892   1.0065    0.0691  11.67 21.2931    0.2366  	233414
   85953     20180402   zg   0.173451   1.1249    0.1350  15.24 19.4850    0.3016  	300544
   85953     20180402   zg   0.173541   1.1247    0.1349  15.24 19.5134    0.3016  	322535
   85953     20180406   zr   0.193384   1.0995    0.1271  15.63 24.0865    0.2908  	216933
   85953     20180407   zr   0.192530   1.0924    0.1270  15.78 24.9547    0.2906  	238646
   85953     20180407   zr   0.192454   1.0924    0.1270  15.78 24.9609    0.2906  	247280
   85953     20180407   zr   0.192445   1.0924    0.1270  15.78 24.9616    0.2906  	247836
   85953     20180407   zg   0.192367   1.0923    0.1270  15.78 24.9671    0.2906  	255995
   85953     20180408   zr   0.189406   1.0855    0.1278  15.92 25.6192    0.2911  	224583
   85953     20180408   zg   0.188926   1.0852    0.1279  15.93 25.6387    0.2911  	260845
   85953     20180409   zr   0.184237   1.0784    0.1294  16.08 26.1042    0.2945  	204005
   85953     20180409   zr   0.184226   1.0784    0.1294  16.08 26.1045    0.2945  	204954
   85953     20180409   zr   0.184124   1.0784    0.1294  16.08 26.1076    0.2945  	213218
   85953     20180409   zr   0.184112   1.0784    0.1294  16.08 26.1080    0.2945  	214248
   85953     20180410   zr   0.176645   1.0709    0.1318  16.25 26.4272    0.3005  	228924
   85953     20180410   zr   0.176546   1.0708    0.1318  16.26 26.4282    0.3005  	234201
   85953     20180410   zr   0.175930   1.0706    0.1318  16.26 26.4332    0.3005  	263194
   162882    20180218   zg   0.305571   0.9888    0.0902  16.95 21.3489    0.6802  	110081
   162882    20180219   zg   0.285098   0.9993    0.0934  16.81 19.7454    0.6537  	123403
   162882    20180219   zg   0.284852   0.9996    0.0935  16.81 19.6979    0.6530  	151539
   163696    20171121   zr   0.290809   1.0396    0.0942  13.83 -14.2169   0.2059  	501134
   194126    20180421   zg   0.175010   1.0968    0.0982  14.06 19.5611    0.2956  	315023
   194126    20180421   zr   0.176253   1.0967    0.0979  14.05 19.3060    0.2963  	375914
   194126    20180426   zg   0.239726   1.0900    0.0842  13.05 -5.5500    0.3573  	313438
 1999 FN19   20180505   zg   0.276584   1.0028    0.0260  18.61 56.4572    0.7852  	202616
 2000 HO40   20180330   zg   0.281921   0.9877    0.0669  20.13 37.5224    6.8240  	247650
